,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
732,No,29,No,No,Fiber optic,No,No,Month-to-month,Yes,84.3,No
733,Yes,67,Yes,Yes,Fiber optic,Yes,No,One year,Yes,111.3,Yes
734,Yes,16,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.5,No
735,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,No
736,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.15,No
737,No,11,No,Yes,DSL,Yes,Yes,One year,Yes,40.4,No
738,Yes,40,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,26.2,No
739,No,17,No,No,Fiber optic,Yes,No,Month-to-month,Yes,76.65,Yes
740,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,Yes
741,Yes,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.45,No
742,No,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.3,No
743,No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.9,No
744,No,68,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.2,Yes
745,Yes,63,No,Yes,DSL,Yes,Yes,Two year,No,39.35,No
746,Yes,23,No,Yes,DSL,No,Yes,Month-to-month,Yes,55.3,No
747,Yes,66,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.3,No
748,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,No
749,No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,69.1,Yes
750,No,62,Yes,No,Fiber optic,Yes,Yes,One year,Yes,104.3,No
751,Yes,37,Yes,Yes,DSL,No,No,One year,No,75.1,No
752,Yes,50,Yes,No,Fiber optic,Yes,No,Month-to-month,No,105.95,Yes
753,No,2,No,Yes,Fiber optic,No,No,Month-to-month,No,74.95,No
754,No,26,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,84.3,No
755,No,72,Yes,Yes,DSL,No,Yes,Two year,No,86.05,No
756,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,108.65,No
757,No,19,No,No,Fiber optic,No,No,Month-to-month,Yes,78.7,No
758,No,55,No,No,Fiber optic,No,No,Month-to-month,Yes,73.1,No
759,No,52,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,91.6,No
760,No,49,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.85,Yes
761,Yes,9,No,No,DSL,No,No,Month-to-month,No,55.35,Yes
762,No,13,No,Yes,DSL,No,Yes,Month-to-month,No,73.35,No
763,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.4,No
764,Yes,48,Yes,Yes,Fiber optic,No,No,One year,Yes,103.25,Yes
765,No,30,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.5,No
766,No,11,No,No,DSL,No,No,Month-to-month,No,45.2,No
767,No,1,Yes,No,Fiber optic,No,No,Month-to-month,No,75.3,Yes
768,Yes,39,No,No,Fiber optic,No,Yes,Two year,No,100.55,No
769,No,58,No,No,Fiber optic,Yes,Yes,One year,Yes,104.65,Yes
770,Yes,24,Yes,No,DSL,Yes,No,One year,Yes,56.25,No
771,No,70,Yes,No,DSL,Yes,Yes,Two year,Yes,49.85,No
772,Yes,1,No,No,Fiber optic,No,No,Month-to-month,No,78.65,Yes
773,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,89.9,Yes
774,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.65,Yes
775,No,4,No,No,DSL,No,No,Month-to-month,Yes,45.3,Yes
776,Yes,42,Yes,Yes,DSL,No,No,Month-to-month,No,54.5,No
777,Yes,52,Yes,No,DSL,Yes,No,One year,No,44.25,No
778,Yes,44,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,No
779,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.15,No
780,Yes,57,No,Yes,Fiber optic,No,No,One year,Yes,95.0,No
781,No,47,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.05,Yes
782,No,4,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.3,No
783,No,5,No,No,Fiber optic,Yes,No,Month-to-month,No,96.5,Yes
784,No,1,No,No,DSL,Yes,No,Month-to-month,Yes,50.35,Yes
785,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,80.25,Yes
787,No,3,No,No,DSL,No,Yes,Month-to-month,No,60.65,No
788,Yes,23,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,No
789,No,67,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,116.2,Yes
790,No,67,Yes,Yes,DSL,Yes,Yes,Two year,No,70.9,No
791,No,2,No,No,DSL,No,No,Month-to-month,No,45.55,No
792,No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.7,Yes
793,No,61,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,114.1,No
794,No,61,No,Yes,Fiber optic,No,Yes,Two year,Yes,94.35,No
795,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.8,No
796,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,74.75,No
797,No,8,No,No,Fiber optic,No,No,Month-to-month,No,85.2,No
798,No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,18.95,No
799,No,68,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,118.6,No
800,No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,85.8,Yes
801,No,25,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.95,No
802,Yes,67,Yes,No,DSL,No,Yes,Two year,No,35.7,No
803,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,75.05,Yes
804,No,6,No,No,Fiber optic,No,No,Month-to-month,Yes,84.35,Yes
805,No,38,No,No,Fiber optic,No,No,One year,Yes,70.45,Yes
806,No,15,Yes,No,Fiber optic,Yes,No,Month-to-month,No,101.75,No
807,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,79.55,Yes
808,No,8,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,Yes
809,No,28,No,No,DSL,Yes,No,Month-to-month,Yes,29.75,No
810,No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.7,Yes
811,No,56,No,No,DSL,Yes,Yes,One year,Yes,54.05,No
812,Yes,31,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,No
813,Yes,45,Yes,No,DSL,No,Yes,Two year,No,54.65,No
814,Yes,18,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,No
815,No,7,No,No,DSL,No,Yes,Month-to-month,Yes,70.75,Yes
816,Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.55,No
817,No,67,Yes,Yes,DSL,Yes,No,One year,No,75.1,No
818,No,9,Yes,Yes,DSL,No,No,Month-to-month,Yes,74.65,Yes
819,Yes,62,Yes,No,Fiber optic,No,No,Two year,Yes,101.15,No
820,No,37,No,No,Fiber optic,No,Yes,Month-to-month,No,100.3,No
821,No,14,No,No,DSL,Yes,No,Month-to-month,No,50.2,No
822,Yes,2,No,No,Fiber optic,No,No,Month-to-month,Yes,71.65,No
823,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,96.6,No
824,No,64,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.25,No
825,No,58,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.45,No
826,No,1,No,No,Fiber optic,No,No,Month-to-month,No,79.6,Yes
827,No,58,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,109.45,Yes
828,No,7,No,No,DSL,No,No,One year,Yes,24.35,No
829,No,27,No,Yes,DSL,No,Yes,Month-to-month,Yes,56.15,No
830,Yes,5,Yes,Yes,DSL,No,Yes,Month-to-month,No,64.4,No
831,No,6,Yes,No,DSL,Yes,Yes,Month-to-month,No,78.65,No
832,No,8,Yes,No,Fiber optic,No,No,Month-to-month,Yes,75.0,No
833,Yes,56,Yes,No,Fiber optic,No,No,One year,No,94.8,No
834,No,4,No internet service,No internet service,No,No internet service,No internet service,One year,No,23.9,No
835,No,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.35,No
836,No,2,No,No,DSL,No,No,Month-to-month,Yes,45.85,No
837,No,17,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.45,No
838,No,17,No,No,DSL,No,Yes,Month-to-month,No,51.5,Yes
839,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,71.15,Yes
840,No,48,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,95.4,No
841,No,35,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.25,No
842,No,6,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.3,Yes
843,No,54,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,108.0,No
844,No,34,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.25,Yes
845,Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.65,Yes
846,No,13,No,No,DSL,No,No,Month-to-month,Yes,23.9,Yes
847,No,67,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,92.45,No
848,Yes,37,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.3,No
849,No,8,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.2,No
850,No,3,No,Yes,DSL,No,No,Month-to-month,No,29.8,No
851,No,14,No,No,Fiber optic,No,No,Month-to-month,Yes,74.3,Yes
852,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,76.85,No
853,No,12,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.3,No
854,No,55,Yes,No,Fiber optic,No,No,Month-to-month,Yes,98.8,Yes
855,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.8,No
856,Yes,38,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.3,No
857,No,70,Yes,No,DSL,Yes,Yes,Two year,No,77.3,No
858,No,1,No,No,DSL,No,No,Month-to-month,Yes,55.45,No
859,No,44,No,No,Fiber optic,No,No,Month-to-month,No,68.85,No
860,Yes,65,Yes,No,Fiber optic,Yes,No,Two year,Yes,104.3,No
861,No,26,Yes,No,Fiber optic,No,No,Month-to-month,Yes,85.8,No
862,No,31,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.75,No
863,No,54,Yes,No,Fiber optic,Yes,Yes,One year,No,84.4,No
864,Yes,8,No,No,DSL,Yes,No,Month-to-month,Yes,51.05,Yes
865,No,1,No,No,DSL,No,No,Month-to-month,No,44.7,Yes
866,Yes,23,Yes,Yes,DSL,No,Yes,One year,Yes,57.75,No
867,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.6,No
868,No,42,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.15,Yes
869,No,1,No,No,DSL,No,No,Month-to-month,No,46.2,Yes
870,No,38,No,Yes,DSL,Yes,Yes,One year,Yes,70.15,Yes
871,No,1,No,No,DSL,No,No,Month-to-month,No,44.4,Yes
872,No,27,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.35,No
873,No,2,No,Yes,Fiber optic,No,No,Month-to-month,No,89.5,Yes
874,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,85.3,No
875,No,35,No,Yes,Fiber optic,No,Yes,Month-to-month,No,85.3,Yes
876,Yes,36,Yes,No,DSL,No,No,Month-to-month,No,51.05,No
877,No,15,No,No,DSL,No,No,Month-to-month,No,51.55,Yes
878,No,23,Yes,No,DSL,No,No,Month-to-month,Yes,59.95,No
879,Yes,23,No,No,Fiber optic,No,No,Month-to-month,No,85.6,No
880,No,71,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.85,No
881,Yes,48,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,105.25,No
882,No,46,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,No
883,No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,73.3,No
884,No,35,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,No
885,No,25,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.15,No
886,No,62,Yes,Yes,DSL,Yes,Yes,Two year,Yes,43.7,No
887,No,67,No,Yes,Fiber optic,No,Yes,Two year,No,102.9,No
888,No,8,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.7,Yes
889,Yes,4,Yes,No,DSL,No,No,Month-to-month,No,49.35,Yes
890,No,3,No,No,DSL,No,No,Month-to-month,No,25.0,No
891,No,1,Yes,Yes,DSL,No,No,Month-to-month,Yes,53.55,No
892,No,9,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,No
893,No,36,Yes,Yes,DSL,Yes,Yes,Two year,Yes,53.1,No
894,No,2,No,Yes,Fiber optic,No,No,Month-to-month,No,95.65,Yes
895,No,40,No,Yes,DSL,No,Yes,One year,No,70.75,No
896,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.1,No
897,No,55,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.45,No
898,No,44,Yes,Yes,DSL,Yes,No,One year,Yes,61.5,No
899,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,No
900,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,No
901,No,6,No,No,DSL,No,No,Month-to-month,No,44.7,No
902,No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.55,No
903,Yes,46,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,100.7,Yes
904,No,24,No,No,Fiber optic,No,Yes,Month-to-month,Yes,89.55,No
905,No,27,No,No,DSL,No,No,Month-to-month,No,36.5,Yes
906,No,43,No,No,DSL,Yes,No,Month-to-month,Yes,49.05,Yes
907,No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,83.85,Yes
908,Yes,46,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.8,No
909,No,55,Yes,No,Fiber optic,Yes,No,One year,Yes,84.25,No
910,No,1,No,No,DSL,No,No,Month-to-month,Yes,53.5,Yes
911,No,1,No,No,DSL,No,No,Month-to-month,Yes,43.85,No
912,No,63,Yes,Yes,Fiber optic,Yes,No,Two year,No,98.0,No
913,No,41,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.7,Yes
914,Yes,4,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,84.8,Yes
915,No,56,Yes,Yes,DSL,Yes,Yes,Two year,No,45.05,No
916,No,5,No,Yes,DSL,No,No,Month-to-month,No,28.45,Yes
917,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,No
918,No,12,No,No,DSL,Yes,No,Month-to-month,Yes,49.85,No
919,No,42,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.55,No
920,No,46,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,No
921,Yes,66,No,No,DSL,No,Yes,One year,Yes,49.4,No
922,Yes,33,Yes,No,Fiber optic,Yes,No,One year,Yes,103.7,Yes
923,No,60,No,Yes,DSL,Yes,Yes,One year,Yes,70.15,No
924,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,67.75,Yes
925,No,58,No,Yes,DSL,No,Yes,Two year,Yes,59.9,No
926,No,69,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,85.4,No
927,No,9,No,Yes,DSL,No,Yes,Month-to-month,No,66.25,Yes
928,Yes,35,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.1,No
929,No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,75.3,No
930,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,86.6,Yes
931,Yes,51,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,79.15,No
932,Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,No,89.9,No
933,No,11,No,No,Fiber optic,No,No,Month-to-month,Yes,95.15,Yes
934,No,13,No,No,Fiber optic,No,No,Month-to-month,Yes,70.15,No
935,No,40,No,Yes,DSL,No,No,One year,No,63.9,No
936,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.0,No
937,No,1,No,No,Fiber optic,No,No,Month-to-month,No,76.0,Yes
938,Yes,10,Yes,Yes,DSL,No,No,One year,No,70.3,No
939,Yes,34,Yes,No,DSL,Yes,Yes,Two year,No,67.65,No
940,No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,85.0,No
941,No,39,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,48.95,Yes
942,No,44,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,88.15,No
943,No,52,Yes,No,DSL,No,No,Month-to-month,Yes,49.75,No
944,No,26,No internet service,No internet service,No,No internet service,No internet service,One year,No,26.0,No
945,No,23,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,79.1,No
946,No,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.75,No
947,No,20,No,No,DSL,No,No,Month-to-month,No,24.9,No
948,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.55,Yes
949,No,47,Yes,Yes,DSL,No,Yes,One year,Yes,58.9,No
950,Yes,48,No,No,Fiber optic,No,No,One year,Yes,82.05,Yes
952,No,8,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.2,No
953,No,66,No,Yes,Fiber optic,Yes,Yes,One year,Yes,90.55,No
954,No,31,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.45,No
955,No,57,No,Yes,DSL,Yes,Yes,Two year,Yes,57.5,No
956,No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,76.25,Yes
957,No,13,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,81.15,Yes
958,No,4,No,No,DSL,No,Yes,Month-to-month,Yes,61.3,No
959,No,38,No,No,DSL,No,No,Month-to-month,Yes,24.85,No
960,No,66,No,Yes,DSL,Yes,No,One year,Yes,70.85,No
961,No,59,No,No,Fiber optic,No,No,One year,No,85.55,Yes
962,No,68,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,107.7,No
963,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,80.1,Yes
964,No,71,Yes,Yes,DSL,Yes,Yes,Two year,No,89.85,No
965,Yes,67,Yes,Yes,DSL,No,Yes,Two year,No,74.0,No
966,No,46,No,Yes,DSL,No,Yes,Two year,Yes,64.2,No
967,No,63,No,Yes,Fiber optic,No,No,Month-to-month,Yes,81.55,No
968,Yes,47,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.5,No
969,No,63,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.6,No
970,Yes,69,Yes,Yes,DSL,No,Yes,Two year,No,80.65,No
971,No,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.7,No
972,No,33,No,No,Fiber optic,Yes,No,One year,Yes,95.8,Yes
973,No,1,Yes,No,DSL,No,No,Month-to-month,No,50.15,No
974,Yes,72,Yes,No,Fiber optic,Yes,No,Two year,Yes,105.55,No
975,No,21,No,No,Fiber optic,No,No,Month-to-month,No,75.3,No
976,Yes,3,No,Yes,DSL,No,No,Month-to-month,Yes,58.7,No
977,Yes,23,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,84.4,No
978,Yes,33,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,88.6,No
979,No,44,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.4,No
980,No,56,Yes,Yes,DSL,Yes,Yes,One year,Yes,68.45,No
981,Yes,45,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.95,No
982,No,72,Yes,No,DSL,Yes,Yes,Two year,Yes,84.9,No
983,No,27,No,No,Fiber optic,No,No,Month-to-month,Yes,95.6,No
984,No,34,Yes,No,DSL,No,Yes,Month-to-month,Yes,60.85,No
985,No,40,No,No,Fiber optic,No,No,Month-to-month,No,83.85,No
986,Yes,25,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.5,No
987,No,14,No,No,Fiber optic,No,No,Month-to-month,Yes,74.95,Yes
988,Yes,8,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.4,No
989,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,93.25,No
990,Yes,56,Yes,No,Fiber optic,Yes,No,One year,Yes,104.55,Yes
991,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,No
992,No,1,No,No,DSL,No,No,Month-to-month,Yes,24.8,Yes
993,Yes,28,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.25,No
994,No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.85,Yes
995,Yes,47,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,107.35,Yes
996,No,72,No,Yes,Fiber optic,Yes,No,Two year,Yes,106.3,No
997,Yes,1,No,No,Fiber optic,No,No,Month-to-month,No,80.0,Yes
998,No,66,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,96.6,No
999,No,13,Yes,No,DSL,Yes,No,Month-to-month,Yes,78.75,No
1000,Yes,20,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.85,Yes
1001,No,11,No,No,Fiber optic,No,Yes,Month-to-month,Yes,73.85,Yes
1002,Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.35,No
1003,Yes,72,No,No,Fiber optic,No,No,Two year,Yes,84.5,No
1004,No,71,No,Yes,Fiber optic,No,Yes,Two year,Yes,104.15,No
1005,No,24,No,No,Fiber optic,Yes,No,Month-to-month,Yes,101.05,Yes
1006,No,44,No,Yes,DSL,Yes,No,Two year,No,54.3,No
1007,Yes,12,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.7,No
1008,Yes,52,No,Yes,Fiber optic,Yes,No,One year,Yes,95.7,No
1009,No,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.65,No
1010,Yes,67,Yes,Yes,DSL,Yes,No,Two year,No,81.35,No
1011,No,68,No,No,DSL,Yes,No,Month-to-month,Yes,39.9,No
1012,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.25,Yes
1013,No,69,Yes,Yes,Fiber optic,No,No,One year,No,87.3,No
1014,Yes,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,No
1015,No,8,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.65,Yes
1016,No,4,Yes,No,Fiber optic,No,No,Month-to-month,Yes,80.25,No
1017,No,50,No,Yes,Fiber optic,No,Yes,Two year,Yes,100.2,No
1018,Yes,64,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.2,No
1019,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,113.65,No
1020,Yes,1,Yes,No,DSL,No,No,Month-to-month,No,51.2,No
1021,No,60,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.8,No
1022,Yes,47,No,Yes,DSL,No,Yes,Two year,No,63.8,No
1023,No,1,No,No,DSL,Yes,No,Month-to-month,No,50.9,Yes
1024,No,25,No,No,DSL,No,No,Month-to-month,Yes,34.0,Yes
1025,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,94.6,Yes
1026,Yes,23,No,No,DSL,No,No,One year,Yes,48.35,Yes
1027,No,1,No,Yes,DSL,No,No,Month-to-month,No,54.3,No
1028,Yes,23,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.6,No
1029,No,46,No,Yes,DSL,Yes,Yes,One year,Yes,59.9,Yes
1030,Yes,42,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.05,No
1031,No,21,Yes,No,DSL,No,No,Month-to-month,Yes,41.9,Yes
1032,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.75,No
1033,No,56,No,No,Fiber optic,No,No,Month-to-month,No,89.7,No
1034,No,47,Yes,No,Fiber optic,Yes,No,One year,No,94.9,No
1035,No,24,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.15,No
1036,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,85.05,No
1037,Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,No
1038,No,26,No,No,Fiber optic,No,No,Month-to-month,Yes,93.6,No
1039,No,32,No,No,Fiber optic,No,No,Month-to-month,Yes,93.2,Yes
1040,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,79.75,No
1041,No,61,Yes,Yes,Fiber optic,Yes,No,One year,Yes,107.75,No
1042,No,47,Yes,No,DSL,Yes,No,One year,Yes,66.05,No
1043,No,5,No,No,Fiber optic,No,No,Month-to-month,No,78.95,Yes
1044,Yes,66,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.0,No
1045,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,83.85,Yes
1046,No,53,No,Yes,Fiber optic,No,No,One year,Yes,94.25,Yes
1047,No,26,No,No,Fiber optic,No,No,Month-to-month,Yes,69.05,No
1048,Yes,40,No,No,Fiber optic,Yes,No,One year,Yes,85.05,No
1049,No,51,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.65,No
1050,No,10,Yes,No,Fiber optic,No,No,Month-to-month,No,75.3,No
1051,No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.4,No
1052,No,26,Yes,Yes,DSL,No,No,Month-to-month,Yes,69.5,No
1053,Yes,0,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.35,No
1054,Yes,19,No,No,DSL,No,No,Month-to-month,Yes,24.85,No
1055,No,17,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.15,No
1056,Yes,5,No,No,DSL,No,Yes,Month-to-month,Yes,48.65,No
1057,No,57,No,Yes,Fiber optic,Yes,Yes,One year,Yes,109.4,No
1058,No,56,Yes,Yes,Fiber optic,Yes,Yes,One year,No,95.65,No
1059,No,63,Yes,No,Fiber optic,Yes,No,Two year,No,99.7,No
1060,Yes,8,No,No,DSL,No,No,Month-to-month,No,44.65,No
1061,No,40,Yes,No,Fiber optic,Yes,No,One year,No,105.75,No
1062,No,35,No,No,Fiber optic,Yes,No,Month-to-month,No,102.05,No
1063,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,80.8,Yes
1064,No,31,No,Yes,DSL,No,Yes,Month-to-month,Yes,71.05,No
1065,Yes,67,Yes,No,Fiber optic,Yes,Yes,One year,Yes,100.25,No
1066,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.9,Yes
1067,No,36,No,Yes,DSL,No,Yes,One year,Yes,70.7,No
1068,No,1,No,No,DSL,No,No,Month-to-month,Yes,50.45,Yes
1069,No,18,Yes,No,DSL,No,No,Month-to-month,Yes,59.1,No
1070,No,63,Yes,Yes,DSL,Yes,Yes,One year,Yes,84.0,No
1071,No,41,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,114.5,Yes
1072,No,38,Yes,No,Fiber optic,No,No,Month-to-month,Yes,83.45,No
1073,No,37,No,Yes,DSL,No,Yes,One year,No,72.1,No
1074,Yes,6,No,No,Fiber optic,Yes,No,Month-to-month,No,94.5,Yes
1075,Yes,44,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.5,No
1076,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,Yes
1077,No,70,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,99.35,No
1078,Yes,72,Yes,No,DSL,Yes,Yes,Two year,Yes,85.9,No
1079,No,3,Yes,No,Fiber optic,No,No,Month-to-month,Yes,86.05,No
1080,No,3,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,89.85,No
1081,No,23,No,No,Fiber optic,No,No,Month-to-month,Yes,74.95,Yes
